km;largura;altura;patologia;xi;xf;yi;yf
160739_NORTE_P1_png.rf.9333ab93a9d0d09ff9a8cc9d0a0a9920.jpg;920;640;TLC-FC2;20;56;34;209
160739_NORTE_P1_png.rf.9333ab93a9d0d09ff9a8cc9d0a0a9920.jpg;920;640;TLL-FC2;836;0;852;326
160739_NORTE_P1_png.rf.9333ab93a9d0d09ff9a8cc9d0a0a9920.jpg;920;640;TLL-FC2;869;0;884;464
160739_NORTE_P1_png.rf.9333ab93a9d0d09ff9a8cc9d0a0a9920.jpg;920;640;TLC-FC2;18;222;28;272
162340_NORTE_P1_png.rf.74854b92024ac7db510ab92441b122ab.jpg;920;640;J;579;5;800;638
173186_NORTE_P1_png.rf.151f3a3a7c1dcf15f38bce84d885130b.jpg;920;640;TLL-FC1;802;324;831;640
173186_NORTE_P1_png.rf.151f3a3a7c1dcf15f38bce84d885130b.jpg;920;640;TLL-FC1;772;261;789;640
173186_NORTE_P1_png.rf.151f3a3a7c1dcf15f38bce84d885130b.jpg;920;640;J;853;0;903;302
173380_NORTE_P1_png.rf.a6a8f1a4e92d1af975969db4a1d5ed2b.jpg;920;640;FI;44;163;300;585
178581_NORTE_P1_png.rf.000ee6e068c22217e1c7a42d02533396.jpg;920;640;TLC-FC2;64;439;85;640
179665_NORTE_P1_png.rf.7fc9a571aac071102cfb8e5af50e5381.jpg;920;640;TLC-FC1;165;0;183;166
179665_NORTE_P1_png.rf.7fc9a571aac071102cfb8e5af50e5381.jpg;920;640;TLC-FC1;150;187;171;257
184063_NORTE_P1_png.rf.a62c0a7b462574d32d51e7adb0d964d4.jpg;920;640;TLC-FC2;879;3;896;200
184063_NORTE_P1_png.rf.a62c0a7b462574d32d51e7adb0d964d4.jpg;920;640;TLC-FC2;895;184;908;632
196823_NORTE_P1_png.rf.bf9002b8f1ef59674f17dba45c733d9b.jpg;920;640;TLC-FC2;18;243;37;385
196823_NORTE_P1_png.rf.bf9002b8f1ef59674f17dba45c733d9b.jpg;920;640;TLC-FC2;1;415;26;594
196823_NORTE_P1_png.rf.bf9002b8f1ef59674f17dba45c733d9b.jpg;920;640;TLL-FC2;179;80;195;515
196823_NORTE_P1_png.rf.bf9002b8f1ef59674f17dba45c733d9b.jpg;920;640;TLC-FC2;64;23;95;135
196823_NORTE_P1_png.rf.bf9002b8f1ef59674f17dba45c733d9b.jpg;920;640;TLC-FC2;141;146;153;325
203746_NORTE_P1_png.rf.2bb11883d55e726eeaf3298dd31aa737.jpg;920;640;TLC-FC2;106;0;120;181
203746_NORTE_P1_png.rf.2bb11883d55e726eeaf3298dd31aa737.jpg;920;640;TLC-FC2;125;301;144;414
203746_NORTE_P1_png.rf.2bb11883d55e726eeaf3298dd31aa737.jpg;920;640;TLC-FC2;98;478;117;640
203746_NORTE_P1_png.rf.2bb11883d55e726eeaf3298dd31aa737.jpg;920;640;TLL-FC2;110;251;138;640
203746_NORTE_P1_png.rf.2bb11883d55e726eeaf3298dd31aa737.jpg;920;640;TLC-FC2;124;135;134;277
158583-22_NORTE_P1_png.rf.a772e8847594a2cfc3e634661c77a629.jpg;920;640;R;0;281;186;640
158779-58_NORTE_P1_png.rf.96ef1f18312bd7309e3f5ad5bd9f933b.jpg;920;640;TLL-FC2;838;0;863;367
158779-58_NORTE_P1_png.rf.96ef1f18312bd7309e3f5ad5bd9f933b.jpg;920;640;TLC-FC2;887;374;904;469
158783-45_NORTE_P1_png.rf.2d95df2ac5cf067ad18a9126d9f76179.jpg;920;640;FI;12;418;124;637
158826-23_NORTE_P1_png.rf.4c7c2ce9c357a365833c2f3cab853b15.jpg;920;640;FI;493;351;504;395
159299-75_NORTE_P1_png.rf.627486fa5d7c0d9460c65a7d47383e14.jpg;920;640;TLL-FC1;3;0;43;631
159344-96_NORTE_P1_png.rf.c8d7d71fb53318642d17ead9b2493f1c.jpg;920;640;FI;142;204;161;343
159663-99_NORTE_P1_png.rf.806cd8c6646d2c687784803b198614d0.jpg;920;640;TLC-FC2;911;350;920;458
159899-7_NORTE_P1_png.rf.4bbd8f5e0ab86050bcc20d1de7d027f3.jpg;920;640;TLC-FC1;6;423;32;640
160098-93_NORTE_P1_png.rf.0454663ea2d4e849cd4772f934546730.jpg;920;640;TLL-FC1;199;58;239;570
160181-01_NORTE_P1_png.rf.80e819849bb2a93fdfeeb42adcb129cf.jpg;920;640;FI;96;184;123;323
160181-01_NORTE_P1_png.rf.80e819849bb2a93fdfeeb42adcb129cf.jpg;920;640;FI;107;452;131;621
160181-01_NORTE_P1_png.rf.80e819849bb2a93fdfeeb42adcb129cf.jpg;920;640;FI;79;443;99;562
